Year,Quarter,State,Tax_Category,Tax_Code,Amount
2004,1,Kansas,Documentary and stock transfer taxes,T51,0.0
2004,1,Kansas,Severance taxes,T53,23469.0
2004,1,Kansas,Other miscellaneous taxes,T99,0.0
2004,1,Kentucky,Property tax,T01,134692.0
2004,1,Kentucky,General sales and gross receipts,T09,598571.0
2004,1,Kentucky,Alcoholic beverages,T10,19305.0
2004,1,Kentucky,Amusements,T11,48.0
2004,1,Kentucky,Insurance,T12,49705.0
2004,1,Kentucky,Motor fuel sales taxes,T13,106294.0
2004,1,Kentucky,Pari-mutuels,T14,772.0
2004,1,Kentucky,Public utilities,T15,0.0
2004,1,Kentucky,Tobacco products,T16,4491.0
2004,1,Kentucky,Other selective sales and gross receipts,T19,153588.0
2004,1,Kentucky,Alcoholic beverages,T20,98.0
2004,1,Kentucky,Amusements,T21,773.0
2004,1,Kentucky,Corporations in general,T22,27152.0
2004,1,Kentucky,Hunting and fishing licenses,T23,5252.0
2004,1,Kentucky,Motor vehicles,T24,46625.0
2004,1,Kentucky,Motor vehicle operator,T25,1335.0
2004,1,Kentucky,Public utilities,T27,1927.0
2004,1,Kentucky,Occupation and business licenses,T28,20551.0
2004,1,Kentucky,Other licenses taxes,T29,926.0
2004,1,Kentucky,Individual income taxes,T40,566457.0
2004,1,Kentucky,Corporation net income taxes,T41,32810.0
2004,1,Kentucky,Death and gift taxes,T50,12391.0
2004,1,Kentucky,Documentary and stock transfer taxes,T51,841.0
2004,1,Kentucky,Severance taxes,T53,44295.0
2004,1,Kentucky,Other miscellaneous taxes,T99,0.0
2004,1,Louisiana,Property tax,T01,9940.0
2004,1,Louisiana,General sales and gross receipts,T09,614172.0
2004,1,Louisiana,Alcoholic beverages,T10,19490.0
2004,1,Louisiana,Amusements,T11,135274.0
2004,1,Louisiana,Insurance,T12,68998.0
2004,1,Louisiana,Motor fuel sales taxes,T13,131539.0
2004,1,Louisiana,Pari-mutuels,T14,1609.0
2004,1,Louisiana,Public utilities,T15,2274.0
2004,1,Louisiana,Tobacco products,T16,34378.0
2004,1,Louisiana,Other selective sales and gross receipts,T19,11531.0
2004,1,Louisiana,Alcoholic beverages,T20,0.0
2004,1,Louisiana,Amusements,T21,0.0
2004,1,Louisiana,Corporations in general,T22,10487.0
2004,1,Louisiana,Hunting and fishing licenses,T23,2900.0
2004,1,Louisiana,Motor vehicles,T24,13921.0
2004,1,Louisiana,Motor vehicle operator,T25,1920.0
2004,1,Louisiana,Public utilities,T27,944.0
2004,1,Louisiana,Occupation and business licenses,T28,17489.0
2004,1,Louisiana,Other licenses taxes,T29,824.0
2004,1,Louisiana,Individual income taxes,T40,490424.0
2004,1,Louisiana,Corporation net income taxes,T41,2653.0
2004,1,Louisiana,Death and gift taxes,T50,8375.0
2004,1,Louisiana,Documentary and stock transfer taxes,T51,0.0
2004,1,Louisiana,Severance taxes,T53,132411.0
2004,1,Louisiana,Other miscellaneous taxes,T99,0.0
2004,1,Maine,Property tax,T01,424.0
2004,1,Maine,General sales and gross receipts,T09,206549.0
2004,1,Maine,Alcoholic beverages,T10,8327.0
2004,1,Maine,Amusements,T11,0.0
2004,1,Maine,Insurance,T12,17899.0
2004,1,Maine,Motor fuel sales taxes,T13,52443.0
2004,1,Maine,Pari-mutuels,T14,1106.0
2004,1,Maine,Public utilities,T15,2156.0
2004,1,Maine,Tobacco products,T16,20842.0
2004,1,Maine,Other selective sales and gross receipts,T19,0.0
2004,1,Maine,Alcoholic beverages,T20,699.0
2004,1,Maine,Amusements,T21,154.0
2004,1,Maine,Corporations in general,T22,789.0
2004,1,Maine,Hunting and fishing licenses,T23,9306.0
2004,1,Maine,Motor vehicles,T24,23277.0
2004,1,Maine,Motor vehicle operator,T25,1778.0
2004,1,Maine,Public utilities,T27,0.0
2004,1,Maine,Occupation and business licenses,T28,13529.0
2004,1,Maine,Other licenses taxes,T29,86.0
2004,1,Maine,Individual income taxes,T40,204336.0
2004,1,Maine,Corporation net income taxes,T41,19316.0
2004,1,Maine,Death and gift taxes,T50,6201.0
2004,1,Maine,Documentary and stock transfer taxes,T51,5316.0
2004,1,Maine,Severance taxes,T53,0.0
2004,1,Maine,Other miscellaneous taxes,T99,0.0
2004,1,Maryland,Property tax,T01,3465.0
2004,1,Maryland,General sales and gross receipts,T09,796706.0
2004,1,Maryland,Alcoholic beverages,T10,6053.0
2004,1,Maryland,Amusements,T11,366.0
2004,1,Maryland,Insurance,T12,41948.0
2004,1,Maryland,Motor fuel sales taxes,T13,180741.0
2004,1,Maryland,Pari-mutuels,T14,1429.0
2004,1,Maryland,Public utilities,T15,11774.0
2004,1,Maryland,Tobacco products,T16,63871.0
2004,1,Maryland,Other selective sales and gross receipts,T19,183923.0
2004,1,Maryland,Alcoholic beverages,T20,93.0
2004,1,Maryland,Amusements,T21,10.0
2004,1,Maryland,Corporations in general,T22,10101.0
2004,1,Maryland,Hunting and fishing licenses,T23,1294.0
2004,1,Maryland,Motor vehicles,T24,64961.0
2004,1,Maryland,Motor vehicle operator,T25,7403.0
2004,1,Maryland,Public utilities,T27,0.0
2004,1,Maryland,Occupation and business licenses,T28,37874.0
2004,1,Maryland,Other licenses taxes,T29,952.0
2004,1,Maryland,Individual income taxes,T40,1090030.0
2004,1,Maryland,Corporation net income taxes,T41,143984.0
